Tithi and Nakṣatra Times;;;;;;Rohiṇī  (< Kṛttikā) = Jayantī Md;;;;;;;;;A: Ahorātra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
Source:;;Madan Gupta Panjika;;;;Punarvasu (< Ārdrā) = Jayā;;;;;;;;;K: Kṣaya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
Year:;;2020–21;;;;Puṣyā Puṣyā (< Punarvasu) = Pāpa-nāśinī;;;;;;;;;VD: Vaiṣṇava Month Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
Location:;;Kolkata, India;;;;Śravaṇā (< Uttarāṣāḍhā) = Vijayā;;;;;;;;;RT: Relative tithi;;;;;;;;;Location for conversion:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Sign:;;;;;;;;;;;;;;;;;;;;;Difference in UTC:;;2:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;UTC:;?;;;;;;;;;;;;;;;;;;;;;UTC:;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mās;Pak;Tithi;Start;End;Date;Mon;Year;A;K;Srise;Sset;Date;Mon;Year;VD;RT;Nakṣatra;Start;End;Date;Mon;Year;Day;Tithi;Start;End;Date;Mon;Year;Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Amāvasyā;11:01;9:41;20;Apr;2023;;;5:17;;20;Apr;2023;15;15;;;;;;;;Amāvasyā;8:32;7:11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Madhusūdan;G;Pratipad;;8:45;21;Apr;2023;;;5:16;;21;Apr;2023;16;1;;;;;;;;Pratipad;;6:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Dvitīya;;8:16;22;Apr;2023;;;5:16;;22;Apr;2023;17;2;;;;;;;;Dvitīya;;5:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Tṛtīya;;8:19;23;Apr;2023;;;5:15;;23;Apr;2023;18;3;;;;;;;;Tṛtīya;;5:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Chaturthī;;8:53;24;Apr;2023;;;5:14;;24;Apr;2023;19;4;;;;;;;;Chaturthī;;6:22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Pañchamī;;9:56;25;Apr;2023;;;5:13;;25;Apr;2023;20;5;;;;;;;;Pañchamī;;7:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Śaṣṭhī;;11:25;26;Apr;2023;;;5:13;;26;Apr;2023;21;6;;;;;;;;Śaṣṭhī;;8:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Saptamī;;13:14;27;Apr;2023;;;5:12;;27;Apr;2023;22;7;;;;;;;;Saptamī;;10:43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Aṣṭamī;;15:16;28;Apr;2023;;;5:11;;28;Apr;2023;23;8;;;;;;;;Aṣṭamī;;12:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Navamī;;17:20;29;Apr;2023;;;5:11;;29;Apr;2023;24;9;;;;;;;;Navamī;;14:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Daśamī;;19:13;30;Apr;2023;;;5:10;;30;Apr;2023;25;11;;;;;;;;Daśamī;;16:43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ekādaśī;19:13;20:51;1;May;2023;;;5:09;;1;May;2023;26;12;;;;;;;;Ekādaśī;16:43;18:20;;;;;;;21:29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Dvādaśī;20:51;22:05;2;May;2023;;;5:09;18:01;2;May;2023;27;13;N;;;;;;;Dvādaśī;18:20;19:34;;;;;;21:29;21:29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Trayodaśī;22:05;22:51;3;May;2023;;;5:08;;3;May;2023;28;14;;;;;;;;Trayodaśī;19:34;20:21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Chaturdaśī;;23:06;4;May;2023;;;5:07;;4;May;2023;29;15;;;;;;;;Chaturdaśī;;20:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Pūrṇimā;23:06;22:50;5;May;2023;;;5:06;;5;May;2023;;;;;;;;;;Pūrṇimā;20:35;20:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;UTC:;?;;;;;;;;;;;;;;;;;;;;;UTC:;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mās;Pak;Tithi;Start;End;Date;Mon;Year;A;K;Srise;Sset;Date;Mon;Year;VD;RT;Nakṣatra;Start;End;Date;Mon;Year;Day;Tithi;Start;End;Date;Mon;Year;Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
Trivikram;K;Pratipad;;22:06;6;May;2023;;;5:05;;6;May;2020;1;1;;;;;;;;Pratipad;;19:36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Dvitīya;;20:54;7;May;2023;;;5:05;;7;May;2020;2;2;;;;;;;;Dvitīya;;16:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Tṛtīya;;19:19;8;May;2023;;;5:05;;8;May;2020;3;3;;;;;;;;Tṛtīya;;14:55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Chaturthī;;17:25;9;May;2023;;;5:04;;9;May;2020;4;4;;;;;;;;Chaturthī;;12:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Pañchamī;;15:26;10;May;2023;;;5:04;;10;May;2020;5;5;;;;;;;;Pañchamī;;12:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Śaṣṭhī;;12:56;11;May;2023;;;5:03;;11;May;2020;6;6;;;;;;;;Śaṣṭhī;;10:25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Saptamī;;10:30;12;May;2023;;;5:03;;12;May;2020;7;7;;;;;;;;Saptamī;;7:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Aṣṭamī;;8:03;13;May;2023;;;5:02;;13;May;2020;8;8;;;;;;;;Aṣṭamī;;5:33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Navamī;;5:40;14;May;2023;;;5:01;;14;May;2020;9;9;;;;;;;;Navamī;;3:09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Daśamī;;3:25;15;May;2023;;;5:01;;15;May;2020;10;10;;;;;;;;Daśamī;;0:54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ekādaśī;3:25;1:23;16;May;2023;;;5:01;;16;May;2020;11;11;;;;;;;;Ekādaśī;0:54;22:52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Dvādaśī;1:23;23:37;16;May;2023;;;5:01;18:07;17;May;2020;12;12;X;;;;;;;Dvādaśī;22:52;21:06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Trayodaśī;23:37;22:18;17;May;2023;;;5:00;;18;May;2020;13;13;;;;;;;;Trayodaśī;21:06;19:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Chaturdaśī;;21:15;18;May;2023;;;4:59;;19;May;2020;14;14;;;;;;;;Chaturdaśī;;18:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Amāvasyā;21:15;20:45;19;May;2023;;;4:59;;22;May;2020;15;15;;;;;;;;Amāvasyā;18:45;18:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
