vaman;ashtami;G;;<a href="http://scsmath.com/events/calendar_events/06_AjitKrsnaPrabhu.html">Disappearance of Sripad Ajita Krishna Brahmachari.</a>;День ухода Шрипада Аджиты Кришны Брахмачари.
vaman;dashami;G;;Disappearance of Tridandi Swami Bhakti Kamal Madhusudan Maharaj. Disappearance of Sriyukta Krishnamayi Devi. Punar Yatra of Sri Jagannathdev (Return car festival).;День ухода Триданди Свами Бхакти Камала Мадхусудана Махараджа. День ухода Шриюкты Кришнамайи Деви.
vaman;purnima;G;guru-purnima;<a href="http://scsmath.com/events/calendar_events/07_GuruPurnima_Chaturmasya.html">Sri Guru Purnima. Appearance of Srila Vyasadev. Disappearance of Srila Sanatan Goswami Prabhu. Beginning of Chaturmasya</a> (when started on Purnima as followed in Sri Chaitanya Saraswat Math). Appearance of Tridandi Swami Srimad Bhakti Bimal Avadhut Maharaj.;Шри Гуру Пурнима. Явление Шрилы Вьясадева. Начало <em>чатурмасьи</em> (когда врата начинается в Пурниму, как принято в ШЧСМ). День явления Шрилы Бхакти Бимала Авадхута Махараджа. День ухода Шрилы Санатаны Госвами Прабху.
shridhar;dvitiya;K;;Disappearance of <a href="http://scsmath.com/events/calendar_events/07_BonMaharaj.html">Tridandi Swami Srimad Bhakti Hriday Bon Maharaj.</a>;День ухода Триданди Свами Шримад Бхакти Хридой Бон Махараджа.
shridhar;tritiya;K;;;День явления Шрилы Бхакти Амриты Махавира Махараджа.
shridhar;panchami;K;;Disappearance of <a href="http://scsmath.com/events/calendar_events/01_GopalBhattaGoswami.html">Srila Gopal Bhatta Goswami Prabhu.</a>;День ухода Шрилы Гопала Бхатты Госвами Прабху.
shridhar;ashtami;K;;Disappearance of <a href="http://scsmath.com/events/calendar_events/07_LokanathGoswami.html">Srila Lokanath Goswami Prabhu.</a>;День ухода Шрилы Локанатха Госвами Прабху.
shridhar;amavasya;K;;<a href="http://scsmath.com/events/calendar_events/07_SrilaGuruMaharaj.html"><b>Festival in honour of the disappearance of Om Vishnupad Paramahamsa Parivrajakacharya-varya Ashtottara-shata-sri Srila Bhakti Raksak Sridhar Dev-Goswami Maharaj.</b></a>;<b>Праздник в честь ухода Ом Вишнупады Парамахамсы Паривраджакачарья-варьи Аштоттара-шата-шри Шрилы Бхакти Ракшака Шридхара Дев-Госвами Махараджа</b>.
shridhar;chaturti;G;;Disappearance of <a href="http://scsmath.com/events/calendar_events/08_VamsiDasBabaji.html">Srila Vamshi Das Babaji Maharaj.</a>;День ухода Шрилы Вамшидаса Бабаджи Махараджа.
shridhar;shashthi;G;;Appearance of Tridandi Swami Srimad Bhakti Vijay Trivikram Maharaj.;День явления Шрилы Бхакти Виджая Тривикрама Махараджа.
shridhar;saptami;G;;Disappearance of Sripad Ananga Mohan Das Adhikari.;День ухода Шрипада Ананга Мохана даса Адхикари.
shridhar;dashami;G;;Disappearance of Tridandi Swami Bhakti Prasun Bodhayan Maharaj.;День ухода Триданди Свами Бхакти Прасун Бодхаяна Махараджа.
shridhar;ekadashi;G;;Beginning of <a href="http://scsmath.com/events/calendar_events/07_Jhulan-yatra.html">Jhulan Yatra of Sri Sri Radha-Govinda</a> and start of the one month festival of Sri Hari Smaran at Nabadwip, Sri Chaitanya Saraswat Math.;Начало Джхулан Ятры Шри Шри Радхи-Говинды и начало ежемесячного фестиваля Шри Хари Смараны в Навадвипе, ШЧСМ.
