masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;sunset;date;arunoday;type;nakshatra_name;nakshatra_start;nakshatra_end
Trivikram;K;Śaṣṭhī;2021-05-31 04:36;2021-06-01 03:31;2021-05-31 03:50;2021-06-01 03:48;2021-05-31 22:04;2021-06-01;2021-06-01 02:12;kshaya;;;
Trivikram;K;Saptamī;2021-06-01 03:31;2021-06-02 02:53;2021-06-01 03:48;2021-06-02 03:47;2021-06-01 22:05;2021-06-01;2021-06-01 02:12;viddha;;;
Trivikram;K;Aṣṭamī;2021-06-02 02:53;2021-06-03 02:46;2021-06-02 03:47;2021-06-03 03:45;2021-06-02 22:07;2021-06-02;2021-06-02 02:11;viddha;;;
Trivikram;K;Navamī;2021-06-03 02:46;2021-06-04 03:09;2021-06-03 03:45;2021-06-04 03:44;2021-06-03 22:09;2021-06-03;2021-06-03 02:09;viddha;;;
Trivikram;K;Daśamī;2021-06-04 03:09;2021-06-05 04:03;2021-06-04 03:44;2021-06-05 03:43;2021-06-04 22:10;2021-06-04;2021-06-04 02:08;sampurna;;;
Trivikram;K;Ekādaśī;2021-06-05 04:03;2021-06-06 05:23;2021-06-05 03:43;2021-06-06 03:42;2021-06-05 22:12;2021-06-06;2021-06-06 02:06;shuddha;;;
Trivikram;K;Dvādaśī;2021-06-06 05:23;2021-06-07 07:05;2021-06-06 03:42;2021-06-07 03:41;2021-06-06 22:13;2021-06-07;2021-06-07 02:05;shuddha;;;
Trivikram;K;Trayodaśī;2021-06-07 07:05;2021-06-08 09:01;2021-06-07 03:41;2021-06-08 03:40;2021-06-07 22:15;2021-06-08;2021-06-08 02:04;shuddha;;;
Trivikram;K;Chaturdaśī;2021-06-08 09:01;2021-06-09 11:04;2021-06-08 03:40;2021-06-09 03:39;2021-06-08 22:16;2021-06-09;2021-06-09 02:03;shuddha;;;
Trivikram;K;Amāvasyā;2021-06-09 11:04;2021-06-10 12:59;2021-06-09 03:39;2021-06-10 03:38;2021-06-09 22:17;2021-06-10;2021-06-10 02:02;shuddha;;;
Trivikram;G;Pratipad;2021-06-10 12:59;2021-06-11 14:41;2021-06-10 03:38;2021-06-11 03:37;2021-06-10 22:18;2021-06-11;2021-06-11 02:01;shuddha;;;
Trivikram;G;Dvitīya;2021-06-11 14:41;2021-06-12 16:00;2021-06-11 03:37;2021-06-12 03:37;2021-06-11 22:19;2021-06-12;2021-06-12 02:01;shuddha;;;
Trivikram;G;Tṛtīya;2021-06-12 16:00;2021-06-13 16:53;2021-06-12 03:37;2021-06-13 03:36;2021-06-12 22:20;2021-06-13;2021-06-13 02:60;shuddha;;;
Trivikram;G;Chaturthī;2021-06-13 16:53;2021-06-14 17:15;2021-06-13 03:36;2021-06-14 03:36;2021-06-13 22:21;2021-06-14;2021-06-14 02:60;shuddha;;;
Trivikram;G;Pañchamī;2021-06-14 17:15;2021-06-15 17:06;2021-06-14 03:36;2021-06-15 03:35;2021-06-14 22:22;2021-06-15;2021-06-15 01:59;shuddha;;;
Trivikram;G;Śaṣṭhī;2021-06-15 17:06;2021-06-16 16:28;2021-06-15 03:35;2021-06-16 03:35;2021-06-15 22:23;2021-06-16;2021-06-16 01:59;shuddha;;;
Trivikram;G;Saptamī;2021-06-16 16:28;2021-06-17 15:22;2021-06-16 03:35;2021-06-17 03:35;2021-06-16 22:24;2021-06-17;2021-06-17 01:59;shuddha;;;
Trivikram;G;Aṣṭamī;2021-06-17 15:22;2021-06-18 13:51;2021-06-17 03:35;2021-06-18 03:35;2021-06-17 22:24;2021-06-18;2021-06-18 01:59;shuddha;;;
Trivikram;G;Navamī;2021-06-18 13:51;2021-06-19 12:00;2021-06-18 03:35;2021-06-19 03:35;2021-06-18 22:25;2021-06-19;2021-06-19 01:59;shuddha;;;
