masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;sunset;date;arunoday;type;nakshatra_name;nakshatra_start;nakshatra_end
Vāman;G;Navamī;2021-07-18 00:10;2021-07-18 21:53;2021-07-18 05:05;2021-07-19 05:05;;2021-07-18;2021-07-18 03:29;shuddha;;;
Vāman;G;Daśamī;2021-07-18 21:53;2021-07-19 19:27;2021-07-18 05:05;2021-07-19 05:05;;2021-07-19;2021-07-19 03:29;shuddha;;;
Vāman;G;Ekādaśī;2021-07-19 19:27;2021-07-20 16:58;2021-07-19 05:05;2021-07-20 05:05;2021-07-19 18:22;2021-07-20;2021-07-20 03:29;shuddha;;;
Vāman;G;Dvādaśī;2021-07-20 16:58;2021-07-21 14:31;2021-07-20 05:05;2021-07-21 05:06;2021-07-20 18:22;2021-07-21;2021-07-21 03:30;shuddha;;;
Vāman;G;Trayodaśī;2021-07-21 14:31;2021-07-22 12:11;2021-07-21 05:06;2021-07-22 05:06;2021-07-21 18:22;2021-07-22;2021-07-22 03:30;shuddha;;;
Vāman;G;Chaturdaśī;2021-07-22 12:11;2021-07-23 10:03;2021-07-22 05:06;2021-07-23 05:06;;2021-07-23;2021-07-23 03:30;shuddha;;;
Vāman;G;Pūrṇimā;2021-07-23 10:03;2021-07-24 08:09;2021-07-23 05:06;2021-07-24 05:07;;2021-07-24;2021-07-24 03:31;shuddha;;;
Śrīdhar;K;Pratipad;2021-07-24 08:09;2021-07-25 06:37;2021-07-24 05:07;2021-07-25 05:07;;2021-07-25;2021-07-25 03:31;shuddha;;;
Śrīdhar;K;Dvitīya;2021-07-25 06:37;2021-07-26 05:37;2021-07-25 05:07;2021-07-26 05:07;;2021-07-26;2021-07-26 03:31;shuddha;;;
Śrīdhar;K;Tṛtīya;2021-07-26 05:37;2021-07-27 04:45;2021-07-26 05:07;2021-07-27 05:08;;2021-07-27;2021-07-27 03:32;kshaya;;;
Śrīdhar;K;Chaturthī;2021-07-27 04:45;2021-07-28 04:33;2021-07-27 05:08;2021-07-28 05:08;;2021-07-27;2021-07-27 03:32;viddha;;;
Śrīdhar;K;Pañchamī;2021-07-28 04:33;2021-07-29 04:52;2021-07-28 05:08;2021-07-29 05:09;;2021-07-28;2021-07-28 03:32;viddha;;;
Śrīdhar;K;Śaṣṭhī;2021-07-29 04:52;2021-07-30 05:42;2021-07-29 05:09;2021-07-30 05:09;;2021-07-29;2021-07-29 03:33;sampurna;;;
Śrīdhar;K;Saptamī;2021-07-30 05:42;2021-07-31 06:59;2021-07-30 05:09;2021-07-31 05:10;;2021-07-31;2021-07-31 03:34;shuddha;;;
Śrīdhar;K;Aṣṭamī;2021-07-31 06:59;2021-08-01 08:37;2021-07-31 05:10;2021-08-01 05:10;;2021-08-01;2021-08-01 03:34;shuddha;;;
Śrīdhar;K;Navamī;2021-08-01 08:37;2021-08-02 10:33;2021-08-01 05:10;2021-08-02 05:11;;2021-08-02;2021-08-02 03:35;shuddha;;;
Śrīdhar;K;Daśamī;2021-08-02 10:33;2021-08-03 12:34;2021-08-02 05:11;2021-08-03 05:11;;2021-08-03;2021-08-03 03:35;shuddha;;;
Śrīdhar;K;Ekādaśī;2021-08-03 12:34;2021-08-04 14:32;2021-08-03 05:11;2021-08-04 05:12;;2021-08-04;2021-08-04 03:36;shuddha;;;
Śrīdhar;K;Dvādaśī;2021-08-04 14:32;2021-08-05 16:16;2021-08-04 05:12;2021-08-05 05:12;2021-08-04 18:15;2021-08-05;2021-08-05 03:36;shuddha;;;
Śrīdhar;K;Trayodaśī;2021-08-05 16:16;2021-08-06 17:38;2021-08-05 05:12;2021-08-06 05:13;2021-08-05 18:14;2021-08-06;2021-08-06 03:37;shuddha;;;
Śrīdhar;K;Chaturdaśī;2021-08-06 17:38;2021-08-07 18:36;2021-08-06 05:13;2021-08-07 05:13;;2021-08-07;2021-08-07 03:37;shuddha;;;
Śrīdhar;K;Amāvasyā;2021-08-07 18:36;2021-08-08 19:02;2021-08-07 05:13;2021-08-08 05:13;;2021-08-08;2021-08-08 03:37;shuddha;;;
Śrīdhar;G;Pratipad;2021-08-08 19:02;2021-08-09 18:58;2021-08-08 05:13;2021-08-09 05:14;;2021-08-09;2021-08-09 03:38;shuddha;;;
Śrīdhar;G;Dvitīya;2021-08-09 18:58;2021-08-10 18:24;2021-08-09 05:14;2021-08-10 05:14;;2021-08-10;2021-08-10 03:38;shuddha;;;
Śrīdhar;G;Tṛtīya;2021-08-10 18:24;2021-08-11 17:22;2021-08-10 05:14;2021-08-11 05:15;;2021-08-11;2021-08-11 03:39;shuddha;;;
Śrīdhar;G;Chaturthī;2021-08-11 17:22;2021-08-12 15:56;2021-08-11 05:15;2021-08-12 05:15;;2021-08-12;2021-08-12 03:39;shuddha;;;
Śrīdhar;G;Pañchamī;2021-08-12 15:56;2021-08-13 14:08;2021-08-12 05:15;2021-08-13 05:15;;2021-08-13;2021-08-13 03:39;shuddha;;;
Śrīdhar;G;Śaṣṭhī;2021-08-13 14:08;2021-08-14 12:04;2021-08-13 05:15;2021-08-14 05:16;;2021-08-14;2021-08-14 03:40;shuddha;;;
Śrīdhar;G;Saptamī;2021-08-14 12:04;2021-08-15 09:48;2021-08-14 05:16;2021-08-15 05:16;;2021-08-15;2021-08-15 03:40;shuddha;;;
Śrīdhar;G;Aṣṭamī;2021-08-15 09:48;2021-08-16 07:23;2021-08-15 05:16;2021-08-16 05:16;;2021-08-16;2021-08-16 03:40;shuddha;;;
Śrīdhar;G;Navamī;2021-08-16 07:23;2021-08-17 04:54;2021-08-16 05:16;2021-08-17 05:17;;2021-08-17;2021-08-17 03:41;kshaya;;;
Śrīdhar;G;Daśamī;2021-08-17 04:54;2021-08-18 02:28;2021-08-17 05:17;2021-08-18 05:17;;2021-08-17;2021-08-17 03:41;viddha;;;
Śrīdhar;G;Ekādaśī;2021-08-18 02:28;2021-08-19 00:09;2021-08-18 05:17;2021-08-19 05:17;2021-08-18 18:05;2021-08-18;2021-08-18 03:41;shuddha;;;
Śrīdhar;G;Dvādaśī;2021-08-19 00:09;2021-08-19 22:00;2021-08-19 05:17;2021-08-20 05:18;2021-08-19 18:04;2021-08-19;2021-08-19 03:41;shuddha;;;
Śrīdhar;G;Trayodaśī;2021-08-19 22:00;2021-08-20 20:07;2021-08-19 05:17;2021-08-20 05:18;;2021-08-20;2021-08-20 03:42;shuddha;;;
Śrīdhar;G;Chaturdaśī;2021-08-20 20:07;2021-08-21 18:33;2021-08-20 05:18;2021-08-21 05:18;;2021-08-21;2021-08-21 03:42;shuddha;;;
Śrīdhar;G;Pūrṇimā;2021-08-21 18:33;2021-08-22 17:23;2021-08-21 05:18;2021-08-22 05:18;;2021-08-22;2021-08-22 03:42;shuddha;;;
Hṛṣīkeś;K;Pratipad;2021-08-22 17:23;2021-08-23 16:40;2021-08-22 05:18;2021-08-23 05:18;;2021-08-23;2021-08-23 03:42;shuddha;;;
Hṛṣīkeś;K;Dvitīya;2021-08-23 16:40;2021-08-24 16:27;2021-08-23 05:18;2021-08-24 05:19;;2021-08-24;2021-08-24 03:43;shuddha;;;
Hṛṣīkeś;K;Tṛtīya;2021-08-24 16:27;2021-08-25 16:44;2021-08-24 05:19;2021-08-25 05:19;;2021-08-25;2021-08-25 03:43;shuddha;;;
